CD_Mun,Cidade,Zona,Cor,UF,Mesorregião Geográfica
2600054,Abreu e Lima,Região Metroplitana Litoral,#45B7D1,PE,Metropolitana de Recife
2600104,Afogados da Ingazeira,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2600203,Afrânio,Zona Petrolina,#F8C471,PE,São Francisco Pernambucano
2600302,Agrestina,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2600401,água Preta,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2600500,águas Belas,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2500502,Alagoinha,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2600708,Aliança,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2600807,Altinho,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2600906,Amaraji,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2601003,Angelim,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2301208,Aracoiaba,Região Metroplitana Norte,#96CEB4,PE,Metropolitana de Recife
2601102,Araripina,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2601201,Arcoverde,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
2601300,Barra de Guabiraba,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2601409,Barreiros,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2601508,Belém de Maria,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2601607,Belém do São Francisco,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
2601706,Belo Jardim,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2601805,Betânia,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
2601904,Bezerros,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2602001,Bodocó,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2602100,Bom Conselho,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2102002,Bom Jardim,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
1501600,Bonito,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2602407,Brejão,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2401800,Brejinho,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2602605,Brejo da Madre de Deus,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2602704,Buenos Aires,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2602803,Buíque,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2602902,Cabo de Santo Agostinho,Região Metroplitana Sul,#DDA0DD,PE,Metropolitana de Recife
2603009,Cabrobó,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
1703826,Cachoeirinha,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2603207,Caetés,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2603306,Calçado,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2603405,Calumbi,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2603454,Camaragibe,Região Metroplitana Litoral,#45B7D1,PE,Metropolitana de Recife
2603504,Camocim de São Félix,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2603603,Camutanga,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2603702,Canhotinho,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2603801,Capoeiras,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2603900,Carnaíba,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2603926,Carnaubeira da Penha,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
2604007,Carpina,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2604106,Caruaru,Zona Caruaru,#F7DC6F,PE,Agreste Pernambucano
2604155,Casinhas,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2604205,Catende,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2303808,Cedro,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2604403,Chã de Alegria,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2604502,Chã Grande,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2504504,Condado,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2604700,Correntes,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2604809,Cortês,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2604908,Cumaru,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
2605004,Cupira,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2605103,Custódia,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
2605152,Dormentes,Zona Petrolina,#F8C471,PE,São Francisco Pernambucano
2605202,Escada,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2605301,Exu,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2605400,Feira Nova,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
2605459,Fernando de Noronha,Região Metroplitana Norte,#96CEB4,PE,Metropolitana de Recife
2605509,Ferreiros,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2605608,Flores,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2605707,Floresta,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
2605806,Frei Miguelinho,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2605905,Gameleira,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2606002,Garanhuns,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2606101,Glória do Goitá,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2606200,Goiana,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2606309,Granito,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2606408,Gravatá,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2606507,Iati,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2606606,Ibimirim,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
2606705,Ibirajuba,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2606804,Igarassu,Região Metroplitana Norte,#96CEB4,PE,Metropolitana de Recife
2606903,Iguaraci,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2607604,Ilha de Itamaracá,Região Metroplitana Norte,#96CEB4,PE,Metropolitana de Recife
2607000,Inajá,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
2607109,Ingazeira,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2607208,Ipojuca,Região Metroplitana Sul,#DDA0DD,PE,Metropolitana de Recife
2607307,Ipubi,Zona Araripina,#98D8C8,PE,Sertão Pernambucano
2607406,Itacuruba,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
2607505,Itaíba,Caruaru Sul,#4ECDC4,PE,Agreste Pernambucano
2607653,Itambé,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2607703,Itapetim,Zona Caruaru Sul,#BB8FCE,PE,Sertão Pernambucano
2607752,Itapissuma,Região Metroplitana Norte,#96CEB4,PE,Metropolitana de Recife
2607802,Itaquitinga,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2607901,Jaboatão dos Guararapes,Região Metroplitana Sul,#DDA0DD,PE,Metropolitana de Recife
2607950,Jaqueira,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2608008,Jataúba,Caruaru Norte,#FF6B6B,PE,Agreste Pernambucano
2105450,Jatobá,Zona Araripina,#98D8C8,PE,São Francisco Pernambucano
2608107,João Alfredo,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
2608206,Joaquim Nabuco,Região Metroplitana Oeste,#FFEAA7,PE,Mata Pernambucana
2608255,Jucati,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2608305,Jupi,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2205532,Jurema,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2608503,Lagoa do Itaenga,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2608453,Lagoa do Carro,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2608602,Lagoa do Ouro,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2608701,Lagoa dos Gatos,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2608750,Lagoa Grande,Zona Petrolina,#F8C471,PE,São Francisco Pernambucano
2608800,Lajedo,Zona Garanhus,#85C1E9,PE,Agreste Pernambucano
2608909,Limoeiro,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
2609006,Macaparana,Região Metroplitana Norte,#96CEB4,PE,Mata Pernambucana
2609105,Machados,Região Metroplitana Norte,#96CEB4,PE,Agreste Pernambucano
2609154,Manari,Caruaru Sul,#4ECDC4,PE,Sertão Pernambucano
