UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE
AL,Sertão Alagoano,2700102,Água Branca,Zona Sertão,486,40.5,25509.0,2125.75,19550,19.55,0.019052099259085
AL,Leste Alagoano,2700201,Anadia,Zona Maceio Sul,432,36.0,18543.0,1545.25,14167,14.167,0.0232972011001456
AL,Agreste Alagoano,2700300,Arapiraca,Zona Agreste,64410,5367.5,790642.5,65886.875,243906,243.906,0.0814653904893804
AL,Leste Alagoano,2700409,Atalaia,Zona Maceio Norte,20730,1727.5,49779.0,4148.25,38480,38.48,0.4164406677514614
AL,Leste Alagoano,2700508,Barra de Santo Antônio,Zona Maceio Sul,2238,186.5,14743.5,1228.625,16756,16.756,0.1517957065825618
AL,Leste Alagoano,2700607,Barra de São Miguel,Zona Maceio Sul,240,20.0,12814.5,1067.875,8123,8.123,0.018728783799602
AL,Sertão Alagoano,2700706,Batalha,Zona Sertão,5178,431.5,24142.5,2011.875,17103,17.103,0.2144765455110282
AL,Agreste Alagoano,2700805,Belém,Zona Agreste,0,0.0,7935.0,661.25,4819,4.819,0.0
AL,Sertão Alagoano,2700904,Belo Monte,Zona Sertão,0,0.0,4744.5,395.375,5895,5.895,0.0
AL,Leste Alagoano,2701001,Boca da Mata,Zona Maceio Sul,564,47.0,35742.0,2978.5,21479,21.479,0.0157797549101896
AL,Leste Alagoano,2701100,Branquinha,Zona Maceio Norte,72,6.0,9567.0,797.25,9779,9.779,0.0075258701787394
AL,Agreste Alagoano,2701209,Cacimbinhas,Zona Agreste,1602,133.5,13569.0,1130.75,10705,10.705,0.1180632323678974
AL,Leste Alagoano,2701308,Cajueiro,Zona Maceio Norte,282,23.5,19917.0,1659.75,16572,16.572,0.0141587588492242
AL,Leste Alagoano,2701357,Campestre,Zona Maceio Norte,0,0.0,3813.0,317.75,6808,6.808,0.0
AL,Leste Alagoano,2701407,Campo Alegre,Zona Maceio Sul,2280,190.0,30256.5,2521.375,32558,32.558,0.0753557086906945
AL,Agreste Alagoano,2701506,Campo Grande,Zona Agreste,288,24.0,16102.5,1341.875,8285,8.285,0.0178854215183977
