UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE,Share_Calculado
PE,Metropolitana de Recife,2600054,Abreu e Lima,Região Metroplitana Litoral,29700,2475.0,235984.5,19665.375,104248,104.248,0.1258557235750653,12.58557235750653
PE,Sertão Pernambucano,2600104,Afogados da Ingazeira,Zona Serra Talhada,66540,5545.0,101805.0,8483.75,42672,42.672,0.6536024753204656,65.36024753204656
PE,São Francisco Pernambucano,2600203,Afrânio,Zona Petrolina,5991,499.25,26103.0,2175.25,19409,19.409,0.2295138489828755,22.951384898287554
PE,Agreste Pernambucano,2600302,Agrestina,Zona Garanhus,6564,547.0,39352.5,3279.375,24680,24.68,0.1668000762340385,16.68000762340385
PE,Mata Pernambucana,2600401,água Preta,Região Metroplitana Oeste,1560,130.0,27474.0,2289.5,26981,26.981,0.0567809565407294,5.678095654072942
PE,Agreste Pernambucano,2600500,águas Belas,Zona Arco Verde,8553,712.75,45477.0,3789.75,43822,43.822,0.188073091892605,18.807309189260504
PE,Agreste Pernambucano,2600609,Alagoinha,Zona Arco Verde,0,0.0,16776.0,1398.0,14460,14.46,0.0,0.0
PE,Mata Pernambucana,2600708,Aliança,Região Metroplitana Norte,2694,224.5,43156.5,3596.375,37349,37.349,0.0624239685794723,6.242396857947238
PE,Agreste Pernambucano,2600807,Altinho,Zona Garanhus,4818,401.5,23671.5,1972.625,21134,21.134,0.2035358975983777,20.353589759837778
PE,Mata Pernambucana,2600906,Amaraji,Região Metroplitana Oeste,3678,306.5,19188.0,1599.0,18335,18.335,0.191682301438399,19.1682301438399
PE,Agreste Pernambucano,2601003,Angelim,Zona Garanhus,1146,95.5,11344.5,945.375,10591,10.591,0.1010181145048261,10.101811450482613
PE,Metropolitana de Recife,2601052,Aracoiaba,Região Metroplitana Norte,1938,161.5,17902.5,1491.875,19996,19.996,0.1082530372852953,10.825303728529535
PE,Sertão Pernambucano,2601102,Araripina,Zona Araripina,35436,2953.0,161556.0,13463.0,90504,90.504,0.2193419000222833,21.93419000222833
PE,Sertão Pernambucano,2601201,Arcoverde,Zona Arco Verde,25767,2147.25,159135.0,13261.25,82487,82.487,0.1619191252709963,16.191912527099632
