UF,Mesorregião Geográfica,CD_Mun,Cidade,Zona,SELL OUT ANUAL,SELL OUT MÊS,POTENCIAL ANUAL,POTENCIAL MÊS,POPULAÇÃO ,PDV,%SHARE
SE,Leste Sergipano,2800100,Amparo do São Francisco,Zona Sertão,0,0.0,3502.5,291.875,2202,2.202,0.0
SE,Agreste Sergipano,2800209,Aquidabã,Zona Sertão,3492,291.0,39394.5,3282.875,20556,20.556,0.08864181548185661
SE,Leste Sergipano,2800308,Aracaju,Zona Aracaju,130497,10874.75,2968990.5,247415.875,630932,630.932,0.04395332352865393
SE,Leste Sergipano,2800407,Arauá,Zona Sergipe Sul,504,42.0,18286.5,1523.875,10464,10.464,0.027561315724714954
SE,Agreste Sergipano,2800506,Areia Branca,Zona Sertão,108,9.0,33511.5,2792.625,18626,18.626,0.0032227742715187323
SE,Leste Sergipano,2800605,Barra dos Coqueiros,Zona Aracaju Metropolitano,1860,155.0,70695.0,5891.25,45175,45.175,0.02631020581370677
SE,Leste Sergipano,2800670,Boquim,Zona Sergipe Sul,3834,319.5,60399.0,5033.25,25007,25.007,0.06347787215020116
SE,Leste Sergipano,2800704,Brejo Grande,Zona Sertão,0,0.0,5344.5,445.375,8025,8.025,0.0
SE,Agreste Sergipano,2801009,Campo do Brito,Zona Sertão,3666,305.5,43456.5,3621.375,18719,18.719,0.08436022229125677
SE,Leste Sergipano,2801108,Canhoba,Zona Sertão,0,0.0,5863.5,488.625,3850,3.85,0.0
SE,Sertão Sergipano,2801207,Canindé de São Francisco,Zona Sertão,3282,273.5,49585.5,4132.125,33641,33.641,0.06618870435913725
SE,Leste Sergipano,2801306,Capela,Zona Sertão,6396,533.0,64758.0,5396.5,32783,32.783,0.09876771981840081
SE,Sertão Sergipano,2801405,Carira,Zona Sertão,1143,95.25,52182.0,4348.5,20314,20.314,0.02190410486374612
SE,Leste Sergipano,2801504,Carmópolis,Zona Aracaju Metropolitano,2748,229.0,31000.5,2583.375,14203,14.203,0.08864373155271689
SE,Leste Sergipano,2801603,Cedro de São João,Zona Sertão,1998,166.5,11560.5,963.375,5474,5.474,0.17282989490073958
SE,Leste Sergipano,2801702,Cristinápolis,Zona Sergipe Sul,3468,289.0,26778.0,2231.5,17594,17.594,0.12950929867801927
SE,Agreste Sergipano,2801900,Cumbe,Zona Sertão,0,0.0,7575.0,631.25,3872,3.872,0.0
SE,Leste Sergipano,2802007,Divina Pastora,Zona Sertão,0,0.0,6169.5,514.125,4436,4.436,0.0
SE,Leste Sergipano,2802106,Estância,Zona Sergipe Sul,9843,820.25,167308.5,13942.375,67060,67.06,0.05883144012408216
SE,Sertão Sergipano,2802304,Frei Paulo,Zona Sertão,549,45.75,28792.5,2399.375,14921,14.921,0.019067465485803594
SE,Sertão Sergipano,2802403,Gararu,Zona Sertão,0,0.0,15693.0,1307.75,11294,11.294,0.0
SE,Leste Sergipano,2802502,General Maynard,Zona Aracaju Metropolitano,0,0.0,6258.0,521.5,3118,3.118,0.0
SE,Sertão Sergipano,2802601,Graccho Cardoso,Zona Sertão,0,0.0,11392.5,949.375,5910,5.91,0.0
SE,Leste Sergipano,2802700,Ilha das Flores,Zona Sertão,1152,96.0,8949.0,745.75,8499,8.499,0.1287294669795508
SE,Leste Sergipano,2802809,Indiaroba,Zona Sergipe Sul,366,30.5,18699.0,1558.25,16991,16.991,0.019573239210652977
SE,Agreste Sergipano,2802908,Itabaiana,Zona Sertão,18618,1551.5,331131.0,27594.25,109250,109.25,0.05622548175797494
SE,Leste Sergipano,2803005,Itabaianinha,Zona Sergipe Sul,4296,358.0,76738.5,6394.875,42230,42.23,0.0559823295998749
SE,Sertão Sergipano,2803104,Itabi,Zona Sertão,0,0.0,11232.0,936.0,4816,4.816,0.0
SE,Leste Sergipano,2803203,Itaporanga d'Ajuda,Zona Sergipe Sul,0,0.0,54732.0,4561.0,36074,36.074,0.0
SE,Leste Sergipano,2803302,Japaratuba,Zona Sertão,540,45.0,33553.5,2796.125,16451,16.451,0.016093701104206715
SE,Leste Sergipano,2803401,Japoatã,Zona Sertão,288,24.0,19012.5,1584.375,13723,13.723,0.01514792899408284
SE,Agreste Sergipano,2803500,Lagarto,Zona Sergipe Sul,26307,2192.25,308737.5,25728.125,105957,105.957,0.08520830802866512
SE,Leste Sergipano,2803609,Laranjeiras,Zona Aracaju Metropolitano,11838,986.5,54946.5,4578.875,24047,24.047,0.2154459337719418
SE,Agreste Sergipano,2803708,Macambira,Zona Sertão,0,0.0,14085.0,1173.75,7048,7.048,0.0
SE,Agreste Sergipano,2803807,Malhada dos Bois,Zona Sertão,150,12.5,6306.0,525.5,3674,3.674,0.023786869647954328
SE,Agreste Sergipano,2803906,Malhador,Zona Sertão,252,21.0,22705.5,1892.125,11712,11.712,0.01109863248992535
SE,Leste Sergipano,2804003,Maruim,Zona Aracaju Metropolitano,216,18.0,29287.5,2440.625,15956,15.956,0.007375160051216389
SE,Agreste Sergipano,2804102,Moita Bonita,Zona Sertão,1032,86.0,26352.0,2196.0,11297,11.297,0.039162112932604735
SE,Sertão Sergipano,2804201,Monte Alegre de Sergipe,Zona Sertão,3450,287.5,25861.5,2155.125,14781,14.781,0.13340293486456703
SE,Agreste Sergipano,2804300,Muribeca,Zona Sertão,1188,99.0,12096.0,1008.0,8059,8.059,0.09821428571428571
SE,Leste Sergipano,2804409,Neópolis,Zona Sertão,1710,142.5,31030.5,2585.875,16473,16.473,0.05510707207424953
SE,Sertão Sergipano,2804458,Nossa Senhora Aparecida,Zona Sertão,672,56.0,18246.0,1520.5,9534,9.534,0.03682999013482407
SE,Sertão Sergipano,2804508,Nossa Senhora da Glória,Zona Sertão,9417,784.75,103893.0,8657.75,43686,43.686,0.09064133290982068
SE,Agreste Sergipano,2804607,Nossa Senhora das Dores,Zona Sertão,1476,123.0,58323.0,4860.25,25569,25.569,0.02530734015739931
SE,Leste Sergipano,2804706,Nossa Senhora de Lourdes,Zona Sertão,822,68.5,10851.0,904.25,6409,6.409,0.07575338678462815
SE,Leste Sergipano,2804805,Nossa Senhora do Socorro,Zona Aracaju Metropolitano,26643,2220.25,458446.5,38203.875,204081,204.081,0.05811583249081408
SE,Leste Sergipano,2804904,Pacatuba,Zona Sertão,180,15.0,18945.0,1578.75,12690,12.69,0.009501187648456057
SE,Sertão Sergipano,2805000,Pedra Mole,Zona Sertão,0,0.0,4380.0,365.0,2811,2.811,0.0
SE,Leste Sergipano,2805109,Pedrinhas,Zona Sergipe Sul,432,36.0,16717.5,1393.125,7355,7.355,0.025841184387617767
SE,Sertão Sergipano,2805208,Pinhão,Zona Sertão,864,72.0,10959.0,913.25,5759,5.759,0.07883931015603614
SE,Leste Sergipano,2805307,Pirambu,Zona Sertão,468,39.0,13222.5,1101.875,8021,8.021,0.03539421440726035
SE,Sertão Sergipano,2805406,Poço Redondo,Zona Sertão,1473,122.75,40027.5,3335.625,29238,29.238,0.0367997002061083
SE,Agreste Sergipano,2805505,Poço Verde,Zona Sergipe Sul,1902,158.5,49066.5,4088.875,22217,22.217,0.03876371862676164
SE,Sertão Sergipano,2805604,Porto da Folha,Zona Sertão,792,66.0,38254.5,3187.875,27348,27.348,0.0207034466533349
SE,Leste Sergipano,2805703,Propriá,Zona Sertão,3624,302.0,78360.0,6530.0,27213,27.213,0.04624808575803982
SE,Agreste Sergipano,2805802,Riachão do Dantas,Zona Sergipe Sul,684,57.0,25812.0,2151.0,18541,18.541,0.026499302649930265
SE,Leste Sergipano,2805901,Riachuelo,Zona Aracaju Metropolitano,552,46.0,12229.5,1019.125,8853,8.853,0.04513675947503986
SE,Sertão Sergipano,2806008,Ribeirópolis,Zona Sertão,1776,148.0,45505.5,3792.125,17365,17.365,0.039028249332498266
SE,Leste Sergipano,2806107,Rosário do Catete,Zona Aracaju Metropolitano,576,48.0,17604.0,1467.0,9507,9.507,0.032719836400818
SE,Leste Sergipano,2806206,Salgado,Zona Sergipe Sul,5736,478.0,40512.0,3376.0,20825,20.825,0.1415876777251185
SE,Leste Sergipano,2806305,Santa Luzia do Itanhy,Zona Sergipe Sul,504,42.0,13633.5,1136.125,14003,14.003,0.03696776323027836
SE,Leste Sergipano,2806503,Santa Rosa de Lima,Zona Sertão,0,0.0,6391.5,532.625,4049,4.049,0.0
SE,Leste Sergipano,2806404,Santana do São Francisco,Zona Sertão,0,0.0,7327.5,610.625,7549,7.549,0.0
SE,Leste Sergipano,2806602,Santo Amaro das Brotas,Zona Aracaju Metropolitano,0,0.0,19338.0,1611.5,11289,11.289,0.0
SE,Leste Sergipano,2806701,São Cristóvão,Zona Aracaju Metropolitano,5754,479.5,229750.5,19145.875,101213,101.213,0.025044559206617613
SE,Agreste Sergipano,2806800,São Domingos,Zona Sertão,1236,103.0,19780.5,1648.375,10559,10.559,0.06248578145142944
SE,Leste Sergipano,2806909,São Francisco,Zona Sertão,0,0.0,5917.5,493.125,3330,3.33,0.0
SE,Agreste Sergipano,2807006,São Miguel do Aleixo,Zona Sertão,300,25.0,6390.0,532.5,3471,3.471,0.046948356807511735
SE,Agreste Sergipano,2807105,Simão Dias,Zona Sergipe Sul,1539,128.25,113727.0,9477.25,44503,44.503,0.0135324065525337
SE,Leste Sergipano,2807204,Siriri,Zona Sertão,0,0.0,12301.5,1025.125,7981,7.981,0.0
SE,Leste Sergipano,2807303,Telha,Zona Sertão,0,0.0,6513.0,542.75,3389,3.389,0.0
SE,Agreste Sergipano,2807402,Tobias Barreto,Zona Sergipe Sul,3612,301.0,125334.0,10444.5,52783,52.783,0.028818995643640193
SE,Leste Sergipano,2807501,Tomar do Geru,Zona Sergipe Sul,462,38.5,19932.0,1661.0,12094,12.094,0.023178807947019868
SE,Leste Sergipano,2807600,Umbaúba,Zona Sergipe Sul,16908,1409.0,56353.5,4696.125,24618,24.618,0.3000346029971519
